id,tag,prompt,negative_prompt,seed,cfg_scale,steps,strength,seconds,file,clip_prompt_alignment,clip_identity_preservation,combined_score
15,exp6_strength_0.2,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.2,3.4,/content/ad_outputs/015_exp6_strength_0.2.png,0.2268,0.951,0.5889
8,exp4_cfg_3,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,3,30,0.45,5.59,/content/ad_outputs/008_exp4_cfg_3.png,0.2532,0.9239,0.58855
7,exp3_seed_999,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",999,7,30,0.45,5.52,/content/ad_outputs/007_exp3_seed_999.png,0.2568,0.9123,0.58455
6,exp3_seed_101,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",101,7,30,0.45,5.4,/content/ad_outputs/006_exp3_seed_101.png,0.2914,0.8662,0.5788
3,exp2_negprompt_none,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography",,42,7,30,0.45,5.18,/content/ad_outputs/003_exp2_negprompt_none.png,0.269,0.8869,0.57795
14,exp5_steps_50,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,50,0.45,10.53,/content/ad_outputs/014_exp5_steps_50.png,0.2731,0.8787,0.5759000000000001
13,exp5_steps_30,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.19,/content/ad_outputs/013_exp5_steps_30.png,0.2692,0.8818,0.5755
5,exp3_seed_42,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,5.28,/content/ad_outputs/005_exp3_seed_42.png,0.2692,0.8818,0.5755
2,exp1_prompt_detailed,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,5.02,/content/ad_outputs/002_exp1_prompt_detailed.png,0.2692,0.8818,0.5755
9,exp4_cfg_7,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,5.71,/content/ad_outputs/009_exp4_cfg_7.png,0.2692,0.8818,0.5755
16,exp6_strength_0.45,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.78,/content/ad_outputs/016_exp6_strength_0.45.png,0.2692,0.8818,0.5755
4,exp2_negprompt_detailed,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,5.25,/content/ad_outputs/004_exp2_negprompt_detailed.png,0.2692,0.8818,0.5755
21,final_env_beach,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a sandy beach road, ocean waves in the background, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, photorealistic, DSLR photo, natural colors","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.84,/content/ad_outputs/021_final_env_beach.png,0.2613,0.8869,0.5741
12,exp5_steps_20,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,20,0.45,4.33,/content/ad_outputs/012_exp5_steps_20.png,0.2744,0.8719,0.57315
11,exp5_steps_10,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,10,0.45,2.25,/content/ad_outputs/011_exp5_steps_10.png,0.2591,0.887,0.5730500000000001
1,exp1_prompt_basic,a photo of a Kia Seltos SUV,"blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.43,/content/ad_outputs/001_exp1_prompt_basic.png,0.2601,0.8812,0.57065
19,final_env_mountain,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a scenic mountain road, dramatic peaks in the background, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, photorealistic, DSLR photo, natural colors","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.26,/content/ad_outputs/019_final_env_mountain.png,0.2474,0.8842,0.5658
10,exp4_cfg_12,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,12,30,0.45,5.86,/content/ad_outputs/010_exp4_cfg_12.png,0.2916,0.8373,0.56445
30,final_style_luxury,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a university campus, students walking nearby, trees, daylight, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, luxury advertisement style, glossy, high-end magazine editorial","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.11,/content/ad_outputs/030_final_style_luxury.png,0.2391,0.8815,0.5603
29,final_style_cinematic,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a university campus, students walking nearby, trees, daylight, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, cinematic lighting, movie still, dramatic color grading","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.07,/content/ad_outputs/029_final_style_cinematic.png,0.231,0.8889,0.5599500000000001
24,final_light_night,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a university campus, students walking nearby, trees, daylight, night time, dramatic artificial lighting, city lights reflecting on the body, wide-angle shot, full vehicle in frame, photorealistic, DSLR photo, natural colors","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.59,/content/ad_outputs/024_final_light_night.png,0.2303,0.888,0.55915
22,final_light_daylight,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a university campus, students walking nearby, trees, daylight, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, photorealistic, DSLR photo, natural colors","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,7.03,/content/ad_outputs/022_final_light_daylight.png,0.2304,0.8867,0.55855
28,final_style_photorealistic,"professional advertisement photo of a Kia Seltos SUV, sharp focus, realistic reflections, showroom quality, high detail, 8k, commercial photography, parked on a university campus, students walking nearby, trees, daylight, bright natural daylight, soft shadows, wide-angle shot, full vehicle in frame, photorealistic, DSLR photo, natural colors","blurry, low quality, distorted, deformed, extra wheels, bad proportions, watermark, text, logo, cartoon, unrealistic, oversaturated, low resolution",42,7,30,0.45,6.1,/content/ad_outputs/028_final_style_photorealistic.png,0.2304,0.8867,0.55855
